doc_id,title,source_org,doc_type,credibility_tier,year,language,structure_quality,layout_type,has_headings,has_lists,has_tables,pages,parsing_notes,chunking_strategy,priority
BCUK_ASR_2024,Bowel_Cancer_UK_About_Stoma_Reversal_2024,BCUK,patient_education,2,2024,en,high,multi_column,TRUE,TRUE,FALSE,6,,,medium
BCUK_CS_V2.1_2023,Bowel_Cancer_UK_Colonic_Stenting_V2.1,BCUK,patient_education,2,2023,en,medium,mixed,TRUE,TRUE,FALSE,5,,,medium
BCUK_EW_2023,Bowel_Cancer_UK_Eating_Well,BCUK,patient_education,2,2024,en,medium,mixed,TRUE,TRUE,FALSE,48,,,medium
BCUK_PTS_2025,Bowel_Cancer_UK_Practical_Tips_Booklet_2025,BCUK,patient_education,2,2025,en,medium,mixed,TRUE,TRUE,FALSE,11,2 pages in 1 pdf page,,medium
BCUK_TFABCERB,Bowel_Cancer_UK_The_Facts_About_Bowel_Cancer_Easy_Read_Booklet,BCUK,patient_education,2,,en,high,single_column,TRUE,FALSE,FALSE,16,,,low
WOCN_COUS_2018,WOCN_Catheterization_Of_Urinary_Stoma_2018,WOCN,guideline,1,2018,en,high,single_column,TRUE,TRUE,FALSE,13,,,high
NCCN_CCGFP_2025,NCCN_Colon_Cancer_Guideline_For_Patient_2025,NCCN,guideline,1,2025,en,high,mixed,TRUE,TRUE,TRUE,56,,,high
ACS_CCFS,ACS_Colorectal_Cancer_Fact_Sheet,ACS,guideline,1,,en,high,multi_column,TRUE,TRUE,FALSE,2,,,high
NCPD_NCFPAUS,NCPD_Nursing_Care_For_Patients_After_Urostomy_Surgery,NCPD,guideline,1,2024,en,high,mixed,TRUE,TRUE,TRUE,9,,,high
ACS_CRCS,ACS_CRC_Screening_Guide_For_Cancer_Coalitions,ACS,guideline,1,,en,,,,,,,,,high
ASCO_TMCRC_2022,ASCO_Treatment_Metastatic_CRC_2022,ASCO,guideline,1,2022,en,,,,,,,,,high
CSCO_CCG_2024,CSCO_Colorectal_Cancer_Guidelines_2024,CSCO,guideline,1,2024,en,,,,,,,,,high
CA_UBCB,Cancer_Australia_Understanding_Bowel_Cancer_Booklet,Cancer_Australia,patient_education,2,,en,,,,,,,,,medium
CCA_UBC_2023,Cancer_Council_Australia_Understanding_Bowel_Cancer_2023,Cancer_Council_AU,patient_education,2,2023,en,,,,,,,,,medium
CWA_CCGSF_2022,Cancer_WA_Colorectal_Cancer_Guidelines_Short_Form_2022,Cancer_WA,guideline,1,2022,en,,,,,,,,,high
GMC_CPI_2024,GM_Cancer_Colorectal_Patient_Info_2024,GM_Cancer,patient_education,2,2024,en,,,,,,,,,medium
KCL_BCDD_2024,KCL_LeDeR_2024_Bowel_Cancer_Deep_Dive,KCL,research,2,2024,en,,,,,,,,,low
NCCN_CCP_2026,NCCN_Colon_Cancer_Patient_2026,NCCN,guideline,1,2026,en,,,,,,,,,high
NCCN_DPYD_2025,NCCN_Colon_DPYD_Update_2025,NCCN,guideline,1,2025,en,,,,,,,,,high
NCCN_CCSP_2024,NCCN_Colorectal_Cancer_Screening_Patient_2024,NCCN,guideline,1,2024,en,,,,,,,,,high
NCCN_RCP_2026,NCCN_Rectal_Cancer_Patient_2026,NCCN,guideline,1,2026,en,,,,,,,,,high
NHS_GJ_CPI,NHS_Golden_Jubilee_Colostomy_Patient_Info,NHS,patient_education,2,,en,,,,,,,,,medium
NHS_STHK_RHC,NHS_STHK_Right_Hemicolectomy_Colorectal,NHS,patient_education,2,,en,,,,,,,,,medium
NHS_SWBH_RH_2023,NHS_SWBH_Right_Hemicolectomy_Patient_Info_2023,NHS,patient_education,2,2023,en,,,,,,,,,medium
NHS_SM_LARS_2024,NHS_StMarks_LARS_Toolkit_Bowel_Changes_After_Rectal_Cancer_2024,NHS,patient_education,2,2024,en,,,,,,,,,medium
NHS_WSH_LH,NHS_WSH_Left_Hemicolectomy_Patient_Info,NHS,patient_education,2,,en,,,,,,,,,medium
NHS_WSH_RH,NHS_WSH_Right_Hemicolectomy_Patient_Info,NHS,patient_education,2,,en,,,,,,,,,medium
NICE_NG151,NICE_Colorectal_Cancer_Guideline_NG151,NICE,guideline,1,,en,,,,,,,,,high
NCA_CSFU_2024,Northern_Cancer_Alliance_Colorectal_Stratified_Follow_Up_2024,NCA,guideline,1,2024,en,,,,,,,,,high
OUH_DAACS,OUH_NHS_Discharge_Advice_After_Colorectal_Surgery,NHS,patient_education,2,,en,,,,,,,,,medium
RM_ARBS,Royal_Marsden_Anterior_Resection_Bowel_Surgery,Royal_Marsden,patient_education,2,,en,,,,,,,,,medium
RM_SRPI,Royal_Marsden_Stoma_Reversal_Patient_Info,Royal_Marsden,patient_education,2,,en,,,,,,,,,medium
UHCW_GHACS,UHCW_NHS_Going_Home_After_Colorectal_Surgery,NHS,patient_education,2,,en,,,,,,,,,medium
UOAA_LWAC_2024,UOAA_Living_With_A_Colostomy_2024,UOAA,patient_education,2,2024,en,,,,,,,,,medium
UOAA_LWAJP_2024,UOAA_Living_With_A_JPouch_2024,UOAA,patient_education,2,2024,en,,,,,,,,,medium
UOAA_LWAI_2022,UOAA_Living_With_An_Ileostomy_2022,UOAA,patient_education,2,2022,en,,,,,,,,,medium
UOAA_LWAOB_2023,UOAA_Living_With_An_Ostomy_Brochure_2023,UOAA,patient_education,2,2023,en,,,,,,,,,medium
UOAA_NOPG_2024,UOAA_New_Ostomy_Patient_Guide_2024,UOAA,patient_education,2,2024,en,,,,,,,,,medium
WOCN_BOSC_2024,WOCN_Basic_Ostomy_Skin_Care_2024,WOCN,guideline,1,2024,en,,,,,,,,,high
